s, T, E, p, H
0, 96.80177883399047, -1250.6366730322798, 0.0, -990.0036916284905
10, 96.32941769958104, -1249.3648586961579, 0.0, -990.0036813050979
20, 95.16109119863283, -1246.2192107244764, 0.0, -990.0036823376295
30, 93.30230299940064, -1241.2145419005028, 0.0, -990.0036892127965
40, 90.7601317295826, -1234.3699019443054, 0.0, -990.003692870308
50, 87.53928214277086, -1225.6980015059835, 0.31761586036933304, -990.0037366935015
60, 83.6564247981627, -1215.243590878838, 0.6480931595202738, -990.0036864952727
70, 79.16339419051286, -1203.1462729905577, 0.9587832876259361, -990.0035839362532
80, 74.14438357023815, -1189.6327169903018, 1.2416170283569974, -990.0034128904498
90, 68.72358234801997, -1175.0372891596608, 1.4582807137099263, -990.0031671025579
100, 63.06684087494019, -1159.8065227739098, 1.5042370210969045, -990.0028377285859
110, 57.384242774470785, -1144.5060773326377, 1.5081883696439053, -990.0024467169416
120, 51.91872297615572, -1129.790078124422, 1.4698515309079503, -990.0020316345013
130, 46.922404446693264, -1116.3374049244073, 1.390043572508624, -990.0016462959525
140, 42.626010117616566, -1104.7693240494248, 1.2706551531220847, -990.0013493683492
150, 39.20618105774627, -1095.56147816699, 1.1145984810519967, -990.0011880398715
160, 36.759488464289646, -1088.973900672698, 0.9257321326902941, -990.0011835519059
170, 35.29083608939717, -1085.019784209575, 0.708767252716065, -990.0013254890384
180, 34.719300709893176, -1083.4812111034742, 0.4691718648606768, -990.0015771001293
190, 34.89861893549566, -1083.9643256015559, 0.21323562467615725, -990.0018880348699
200, 35.645515822945576, -1085.975620732219, 0.05780615336077419, -990.0022081098875
210, 36.76836729464986, -1088.9991200176337, 0.3251833920943132, -990.0024971788266
220, 38.090630621994116, -1092.559467100213, 0.5918758454003151, -990.0027295883311
230, 39.46636997977385, -1096.263669803524, 0.8382239028344886, -990.0028366151816
240, 40.79792324353349, -1099.8488973895119, 0.741522790283068, -990.0029369316926
250, 42.02324127305962, -1103.1480418683839, 0.6304309497413298, -990.0029861351472
260, 43.10091911513357, -1106.0496396688252, 0.5083467377626, -990.003001006475
270, 44.01055238732134, -1108.498771433665, 0.37896596384954145, -990.0029997639456
280, 44.74288439162008, -1110.470528878223, 0.24617629866398397, -990.0029972268494
290, 45.29171978759524, -1111.948238824194, 0.11394477348586989, -990.0030007992812
300, 45.64980290989833, -1112.912361164922, 0.0, -990.0030058181953
310, 45.810738257294084, -1113.3456769182678, 0.0, -990.0030128047989
320, 45.77036610864224, -1113.2369719404385, 0.0, -990.0030074148858
330, 45.53171733240676, -1112.5943986491295, 0.0, -990.0029816346643
340, 45.1103788691441, -1111.459920400461, 0.0, -990.0029319180227
350, 44.53625532675145, -1109.914055072838, 0.0, -990.0028597808794
360, 43.85249708240969, -1108.072988396614, 0.0, -990.0027711520509
370, 43.11192115128846, -1106.0789361011757, 0.0, -990.0026751166006
380, 42.37162718333855, -1104.0856462731883, 0.0, -990.0025823796802
390, 41.68669829432381, -1102.241437438335, 0.0, -990.0025034827657
400, 41.10402064472541, -1100.6725561540113, 0.0, -990.0024468093268
410, 40.65734706890188, -1099.4698843852016, 0.0, -990.0024168430074
420, 40.3645627898253, -1098.6815769256357, 0.0, -990.0024134877984
430, 40.22753726272044, -1098.3126632263404, 0.0, -990.0024327987014
440, 40.23420633174309, -1098.3306549719093, 0.0, -990.0024684760709
450, 40.362104673876516, -1098.6750582756154, 0.0, -990.0025131674832
460, 40.58261306956239, -1099.268810105305, 0.0, -990.0025593722924
470, 40.865354084845016, -1100.0301143696217, 0.0, -990.0026004174216
480, 41.18214600151734, -1100.8830888317545, 0.0, -990.0026316514292
490, 41.50984872699888, -1101.7654284047705, 0.0, -990.0026512982497
500, 41.83163317915749, -1102.631822811329, 0.0, -990.0026603744382
510, 42.13669643685507, -1103.4531886646168, 0.0, -990.0026617101707
520, 42.418921048979705, -1104.2130584426482, 0.0, -990.0026586535332
530, 42.67516393428687, -1104.902972425599, 0.0, -990.0026540423677
540, 42.90282550333584, -1105.5159402269503, 0.10135680436043223, -990.0026567287488
550, 43.09746319864073, -1106.0399882180714, 0.2560767454976725, -990.0026544035231
560, 43.25706488562278, -1106.4697037239882, 0.41501063974147395, -990.002651943342
570, 43.38039599905824, -1106.8017620604667, 0.573447803429041, -990.0026486567623
580, 43.46715783683651, -1107.0353582926068, 0.7266736125976454, -990.0026438463947
590, 43.51832920594656, -1107.173127419907, 0.8701186282075278, -990.0026371326481
600, 43.53634348875321, -1107.2216212704022, 0.9994997972624124, -990.0026286075436
610, 43.52501961345758, -1107.191122500147, 1.1109495253641746, -990.0026186920893
620, 43.48932100893827, -1107.0949951291004, 1.201129391894476, -990.0026076717946
630, 43.435178294458055, -1106.9492065676764, 1.267326137573078, -990.0025951205457
640, 43.36965690290763, -1106.7727787050871, 1.3075282600903757, -990.0025796734226
650, 43.301556876912215, -1106.5894034416458, 1.3204821126053998, -990.0025596439723
660, 43.24209500016111, -1106.4292808302885, 1.3057268395058392, -990.0025345680547
670, 43.20486583354861, -1106.3290158959887, 1.2636078372844792, -990.0025069311091
680, 43.204229412017376, -1106.3272781043843, 1.1952687259582342, -990.0024826662922
690, 43.25194416475573, -1106.4557339137477, 1.1026220823274757, -990.0024693667929
700, 43.353040487608624, -1106.7279330664321, 0.9882994401224002, -990.0024727359752
710, 43.50280470462686, -1107.1311849224855, 0.855581322455425, -990.00249342356
720, 43.686514177810366, -1107.625844632681, 0.7083083610149352, -990.0025263997773
730, 43.88224562546573, -1108.152876613859, 0.5507749019048155, -990.00256320203
740, 44.06558388163947, -1108.6465360979978, 0.3876069324775823, -990.0025954317164
750, 44.2143777085209, -1109.0471765774707, 0.22362671797270378, -990.0026174599407
760, 44.31206186745228, -1109.3101952168372, 0.06370722865769773, -990.0026273624339
770, 44.349637635573785, -1109.4113599017464, 0.0, -990.0026215462221
780, 44.3261619220779, -1109.3481468137052, 0.0, -990.0026154082258
790, 44.24216565137374, -1109.1219820220153, 0.0, -990.0026055356307
800, 44.100586480861494, -1108.7407779144828, 0.0, -990.0025948499521
810, 43.9055625616597, -1108.2156779939637, 0.0, -990.0025851304487
820, 43.66144291921868, -1107.558392086522, 0.0, -990.0025767131008
830, 43.37255082992272, -1106.7805593298776, 0.0, -990.0025685733605
840, 43.04366341055382, -1105.8950398635081, 0.0, -990.0025587503966
850, 42.68098253625783, -1104.9185296200176, 0.0, -990.0025450000956
860, 42.29324543170832, -1103.874551257749, 0.0, -990.0025255276004
870, 41.892578458970384, -1102.7957535960697, 0.0, -990.0024996499995
880, 41.494736674846266, -1101.724557060634, 0.0, -990.0024682478108
890, 41.118489935281865, -1100.7115009140773, 0.0, -990.002433872727
900, 40.78410650447411, -1099.8111601329738, 0.0, -990.0024004160675
910, 40.51112403081802, -1099.076143128551, 0.0, -990.0023723430153
920, 40.31582917993764, -1098.550304775314, 0.0, -990.0023536580828
930, 40.209007308294545, -1098.262686546806, 0.0, -990.0023469096614
940, 40.19449921817935, -1098.2236300432348, 0.0, -990.00235256824
950, 40.26890147098038, -1098.4239700557544, 0.0, -990.002368979228
960, 40.422439701538764, -1098.837386417262, 0.0, -990.0023928672509
970, 40.64074749267008, -1099.4251943620052, 0.0, -990.0024201828405
980, 40.907094726220826, -1100.1423451452893, 0.0, -990.0024470206232
990, 41.204564754218374, -1100.9432887121377, 0.0, -990.0024703852899
1000, 41.51775784802912, -1101.7865606084563, 0.0, -990.0024886681088
1010, 41.83372596404148, -1102.6373070267605, 0.017011058513016323, -990.0025098921367
1020, 42.140620349004756, -1103.4636109927587, 0.13625103826288065, -990.0025191402843
1030, 42.4293021651261, -1104.2408760978103, 0.2549830663660226, -990.0025257763382
1040, 42.69294145395265, -1104.9507152678007, 0.3695163464723759, -990.0025319795204
1050, 42.925073566486894, -1105.5757245419968, 0.4763254703108764, -990.0025394686448
1060, 43.11874582254669, -1106.0971850274389, 0.5721462900376807, -990.0025490249812
1070, 43.26616259351763, -1106.4941071180863, 0.6540623926177245, -990.0025603047957
1080, 43.35893132906512, -1106.7438930269993, 0.7195806202804327, -990.0025719593713
1090, 43.388845635046756, -1106.8244455333677, 0.7666943877870243, -990.0025819917424
1100, 43.34901174961269, -1106.7172014250427, 0.7939338201552884, -990.0025882299155
1110, 43.235059026358954, -1106.410391121695, 0.8004019871805902, -990.0025887967652
1120, 43.04617455364009, -1105.9018247082154, 0.7857967541035276, -990.0025824930126
1130, 42.785748666955016, -1105.2006301947608, 0.7504180067506848, -990.0025690539045
1140, 42.46148915808937, -1104.3275611320432, 0.6951602450559903, -990.0025492632371
1150, 42.08494437242987, -1103.3137125297114, 0.6214907676558876, -990.0025249036064
1160, 41.67047018041275, -1102.1977392383578, 0.5314138865548625, -990.0024985058074
1170, 41.23378768144384, -1101.021972185924, 0.42742180893746895, -990.0024728808972
1180, 40.79039440235548, -1099.828140004899, 0.3124329998382544, -990.0024505002211
1190, 40.35416769410689, -1098.6536081707147, 0.18971899653776247, -990.0024329043936
1200, 39.936477269964385, -1097.528989239458, 0.06282079290765405, -990.0024203787151
