s, T, E, p, H
0, 87.31644022989832, -1250.6057097614137, 0.0, -1015.5114334288262
10, 86.75807075833663, -1249.1023099035556, 0.0, -1015.5114098709797
20, 85.56074627779647, -1245.8785718095817, 0.0, -1015.5113961013914
30, 83.73648362076358, -1240.9668456008055, 0.0, -1015.5113876409168
40, 81.29885144868683, -1234.4036561881326, 0.0, -1015.5113765936302
50, 78.26717688541287, -1226.2410293929338, 0.0, -1015.5113516595728
60, 74.67253256122221, -1216.5626120567592, 0.0, -1015.5112984876221
70, 70.56522855342051, -1205.5038448365328, 0.0, -1015.5112008701614
80, 66.0230565491134, -1193.2741617761478, 0.0, -1015.5110434010529
90, 61.158743546223135, -1180.1770635167334, 0.0, -1015.5108160431404
100, 56.12409157717648, -1166.6212693567702, 0.0, -1015.5105202307171
110, 51.107570135297834, -1153.1142406549131, 0.0, -1015.5101745198318
120, 46.322532236099505, -1140.2304548014577, 0.0, -1015.509816107694
130, 41.985551948346696, -1128.5530741897012, 0.0, -1015.5094947018946
140, 38.28842676469137, -1118.5985506882298, 0.0, -1015.5092589299041
150, 35.37118143624868, -1110.7439248822127, 0.0, -1015.5091411359992
160, 33.30412854137776, -1105.1785165855902, 0.0, -1015.5091487356431
170, 32.08360124534915, -1101.8924373484592, 0.0, -1015.5092660114314
180, 31.640535462948378, -1100.6997064977168, 0.0, -1015.509463195856
190, 31.85716418752084, -1101.2832096827021, 0.0, -1015.5097065376535
200, 32.586372032391445, -1103.2468167100435, 0.0, -1015.5099651951515
210, 33.6697885317643, -1106.1640998337302, 0.0, -1015.5102143992667
220, 34.952667355972665, -1109.6183958619579, 0.0, -1015.5104361660428
230, 36.29498208954504, -1113.2326804234349, 0.0, -1015.5106188462603
240, 37.57887892662095, -1116.6896330097231, 0.0, -1015.5107562325318
250, 38.71292387544269, -1119.7430713141723, 0.0, -1015.5108465549754
260, 39.633675957444545, -1122.2221860324619, 0.0, -1015.5108915376
270, 40.30510548113457, -1124.0299738049398, 0.0, -1015.5108956033139
280, 40.715057234142776, -1125.1337246740625, 0.11939564688464192, -1015.5108759745672
290, 40.87085240269879, -1125.5531360525683, 0.2838662179159461, -1015.510818209446
300, 40.80044142892375, -1125.3634821161002, 0.44253968845808955, -1015.5107415952087
310, 40.54447914391748, -1124.674232483702, 0.5906800967191183, -1015.5106550574529
320, 40.15084692241098, -1123.6143130714256, 0.7239260153281972, -1015.5105667836494
330, 39.669715919797255, -1122.318813470566, 0.8384072350420253, -1015.5104835394671
340, 39.149367477242265, -1120.917733275706, 0.9308471637570188, -1015.5104103052798
350, 38.63300089613412, -1119.5273872112887, 0.9986505751668648, -1015.5103502785013
