s, T, E, p, H
0, 972.7609793773729, -1250.5832619545472, 0.0, 1368.5173093602666
10, 968.4823694918846, -1239.065529163379, 0.0, 1368.5151417513505
20, 956.0476788263295, -1205.5916098695875, 0.0, 1368.509402509575
30, 932.9970171536515, -1143.538606394438, 0.0, 1368.4998824707395
40, 895.4850515800802, -1042.551554162633, 0.0, 1368.488218113638
50, 839.6528221918117, -892.2320587286569, 0.0, 1368.4827858534645
60, 766.4333737782928, -695.0771651340353, 0.0, 1368.4987077615913
70, 688.0353194971187, -483.96360371079163, 0.0, 1368.5302119160306
80, 623.4254061827606, -309.9866046863153, 0.05129260316420804, 1368.5488959363965
90, 584.5246045945555, -205.24539100590653, 0.2676060847253943, 1368.5520353886586
100, 573.2967314417649, -175.02282872498736, 0.4887473248149145, 1368.544222878078
110, 584.2900257077473, -204.63862830050243, 0.7101146283687807, 1368.5272085160645
120, 606.8436364566668, -265.37853622635, 0.9268648071306755, 1368.511544315038
130, 630.6764483338238, -329.5544520064939, 1.134029212968955, 1368.5040445454267
140, 649.8860422576247, -381.2759347938178, 1.326647747118531, 1368.5032408223014
150, 662.6796539338412, -415.71898295512983, 1.4999159426827724, 1368.5062244825015
160, 669.8931246341084, -435.13515170725805, 1.6493382201966347, 1368.5118927826009
170, 674.0935827748698, -446.4382612038048, 1.770879264111722, 1368.5182648025657
180, 678.2785538080049, -457.7027081856631, 1.8611053346728086, 1368.5216012291614
190, 683.9596700431536, -472.9990688801691, 1.9173081292128105, 1368.5213051308192
200, 690.7962554697957, -491.40695711232195, 1.9376053327268272, 1368.5205129647748
210, 698.0651545811804, -510.97718668645695, 1.92101392660214, 1368.5213581140965
220, 705.7478730711582, -531.6610059274774, 1.867494207291589, 1368.5227974442319
230, 714.101502758611, -554.1523980596645, 1.7779639635954114, 1368.52305202773
240, 722.8278186887447, -577.648246772321, 1.6542833280901281, 1368.5222853780028
250, 731.1241243918627, -599.9861034101962, 1.4992115661631087, 1368.5217340674305
260, 738.2801957831057, -619.2533082424756, 1.3163375910653543, 1368.5218220917895
270, 743.945052706676, -634.5049882504854, 1.1099863577293152, 1368.5224294590773
280, 748.0819530639153, -645.6425460642479, 0.8851035544608208, 1368.5232276431602
290, 750.7591357434399, -652.8504338210985, 0.6471212627803027, 1368.5234936199688
300, 751.8606554107141, -655.8158168184552, 0.401807595681194, 1368.5238862355677
310, 751.3924539399919, -654.5538785629185, 0.15510386059790868, 1368.5252201232734
320, 749.8435748330218, -650.3821261118397, 0.0, 1368.526708511581
330, 747.8458707528673, -645.0024836927391, 0.0, 1368.5276525571107
340, 745.8070157051451, -639.5125690069932, 0.0, 1368.5280723581677
350, 743.820570796966, -634.1644309714861, 0.0, 1368.5278266650969
360, 741.6383793292034, -628.2890777903436, 0.0, 1368.5277602507767
370, 739.0835462308962, -621.4095030079753, 0.0, 1368.5286002059388
380, 736.3980113045202, -614.1779079943585, 0.0, 1368.5295535623836
390, 733.9200592123607, -607.5057318633233, 0.0, 1368.5299923624052
400, 731.7760962023432, -601.733014493606, 0.0, 1368.530217965431
410, 729.9884357087094, -596.9195057169404, 0.0, 1368.530558122617
420, 728.6270787484967, -593.2537736917016, 0.0, 1368.5309182139008
430, 727.7608612782668, -590.9214838752405, 0.0, 1368.5309694648163
440, 727.2972176058045, -589.6734820573007, 0.0, 1368.5306385132712
450, 726.9522814249352, -588.7450915864716, 0.0, 1368.530309013281
460, 726.4400389340371, -587.3658762381515, 0.0, 1368.5303421894073
470, 725.6600788737596, -585.2655118156216, 0.0, 1368.5307109472437
480, 724.699109620509, -582.6777104940478, 0.0, 1368.5311602125953
490, 723.707147098358, -580.0065859431116, 0.0, 1368.5314851903913
500, 722.786836125678, -577.5285513759508, 0.0, 1368.5316376822693
510, 721.9577867162068, -575.2963620034251, 0.0, 1368.5316612627585
520, 721.1713447830576, -573.1789749273247, 0.0, 1368.5316006203711
530, 720.3329711799308, -570.9218190083634, 0.0, 1368.5314859153295
540, 719.3212769203669, -568.1980239534131, 0.0, 1368.5313548780596
550, 718.0119688151849, -564.6728840879862, 0.0, 1368.53126122877
560, 716.3098349582893, -560.0899859580076, 0.0, 1368.5312660770887
570, 714.1579414421072, -554.2962488191408, 0.5339717797784199, 1368.5311590372462
580, 711.5495849961978, -547.2732074103383, 1.3061887827112661, 1368.5313572168245
590, 708.5918546918049, -539.3092559711946, 2.631756078028607, 1368.5317972752086
600, 705.4789614853614, -530.9275029869449, 3.8878636867610625, 1368.5322720747017
610, 702.4579023797467, -522.793088879048, 5.041080053908361, 1368.5326658042768
620, 699.7304116889892, -515.4492725548782, 6.0622957674269315, 1368.532877093024
630, 697.39793223858, -509.1691987578486, 6.925978993287646, 1368.5328899185938
640, 695.4525818514165, -503.93155810973553, 7.610607008306746, 1368.5327913702924
650, 693.8211210987322, -499.53905269279886, 8.099152845339304, 1368.5326865982718
660, 692.420384003575, -495.7677211717289, 8.379496451194248, 1368.5326175348566
670, 691.1832075777218, -492.43674216696775, 8.444727667390264, 1368.532573243593
680, 690.0569000428964, -489.404257767942, 8.29332864151963, 1368.532542183554
690, 688.998652314878, -486.55499968552795, 7.929231167714264, 1368.532531753142
700, 687.9782740030082, -483.8076782254218, 7.361749751232747, 1368.5325458312377
710, 686.9782760061173, -481.1152301136612, 6.605396056760656, 1368.5325593362493
720, 685.9798150071631, -478.42696405737047, 5.679586012383036, 1368.5325290605158
730, 684.9394734405658, -475.62721545185525, 4.521226593155405, 1368.531220418462
740, 683.568722757668, -471.9366419032383, 2.036806643473278, 1368.531129998417
750, 681.6286247429084, -466.7130523143724, 1.2498711011803298, 1368.531122088424
760, 679.1003775586859, -459.9057875940144, 3.4798947937941107, 1368.5312329600938
770, 676.086594700608, -451.7911615910366, 5.355769327268711, 1368.5314294446682
780, 672.7266025757768, -442.74408836160137, 6.7697863564487495, 1368.5319254775231
790, 669.2148539620055, -433.2886442275941, 7.7213631402493785, 1368.532197173868
800, 665.7085152337588, -423.8477884511596, 8.480878460546538, 1368.5324463048219
810, 662.3466321831619, -414.7959180137057, 9.029386454042116, 1368.5326483415267
820, 659.243789073066, -406.4415580708263, 9.35321545425216, 1368.5327893810595
830, 656.4811172523813, -399.0031566437376, 9.444310300781495, 1368.5328626912637
840, 654.1015571151522, -392.59633104195757, 9.300434403049142, 1368.5328653971628
850, 652.1078407315763, -387.22843592825666, 8.925226126215, 1368.5327987710687
860, 650.4632956141228, -382.8007248895444, 8.328107565692683, 1368.5326707537442
870, 649.0863800283297, -379.09463749886567, 7.855549454018701, 1368.5314955446104
880, 647.6759478328479, -375.29728909779584, 8.15421458083707, 1368.531339885277
890, 646.0638176096553, -370.9568204686284, 8.255866306115944, 1368.5312446163118
900, 644.0074159692325, -365.4221250284606, 8.914563122474172, 1368.5292020237398
910, 640.895196028649, -357.042390494384, 9.938455848677519, 1368.529471100992
920, 636.8326517845198, -346.10374450227914, 11.021111631727617, 1368.5299604684335
930, 632.1106473538998, -333.3881348826645, 12.250064516631296, 1368.5318564788697
940, 627.3202964087313, -320.4898504728023, 14.337437506231172, 1368.5324083899222
950, 622.9218529735649, -308.64689639824627, 16.09608910834161, 1368.5328174218987
960, 619.1569735970154, -298.5099040446473, 17.474818614825853, 1368.5330979469009
970, 616.1757008585081, -290.4842248612184, 18.132712703073235, 1368.531879158263
980, 613.7215231445222, -283.8763193292505, 17.381572896763704, 1368.5320584459866
990, 611.7235652474777, -278.49676800388363, 16.32295624791479, 1368.5322280110354
1000, 610.2648333039242, -274.5691021805589, 15.009531545890518, 1368.5323456002586
1010, 609.39743301249, -272.23364616787285, 13.519004801459372, 1368.5323783722756
1020, 609.1249488330573, -271.5000656846177, 11.964018574650488, 1368.5323115514589
1030, 609.2755906121176, -271.9066302040143, 11.158072106255412, 1368.5313409836758
1040, 609.6147613810482, -272.82001917004067, 11.163625315270579, 1368.5311489627486
1050, 610.0195403474364, -273.9100867126077, 11.969319227594882, 1368.5309245004437
1060, 610.3510241613077, -274.80283205915066, 13.369481059797044, 1368.5306794337207
1070, 610.4861921534898, -275.16676528739026, 14.799302466475504, 1368.5306779143518
1080, 610.0894307634455, -274.0987641966, 16.822710452112506, 1368.5304227681313
1090, 608.7982157142949, -270.6222659085324, 18.58971422227885, 1368.5304020092635
1100, 606.7097356143391, -264.99858930581627, 19.58086582213729, 1368.530971251655
1110, 604.2717541493905, -258.43531203049855, 20.76971356269482, 1368.5301297114863
1120, 601.2081283933313, -250.18738344759976, 21.797241838222874, 1368.529429763741
1130, 597.3673590060424, -239.84593811841796, 22.35931737278685, 1368.529833963811
1140, 593.3096500694052, -228.91808553928638, 22.801257182566673, 1368.5325486935826
1150, 590.5746265308678, -221.55271653101397, 24.241260622543905, 1368.5340309257558
1160, 590.2526125641313, -220.6879209302164, 25.19462048294725, 1368.531823241953
1170, 591.2809155338664, -223.45765902751333, 25.911853842818047, 1368.5307291924898
1180, 592.3623908382107, -226.37013118955107, 27.08566431904919, 1368.5300643988808
1190, 593.001775334691, -228.0908820637869, 27.934933075286427, 1368.5308179183487
1200, 593.3520629472431, -229.0333676565386, 28.108756187069126, 1368.5314607051366
1210, 593.6425361655145, -229.81516072651686, 27.603292093541903, 1368.531749346961
1220, 593.9730169638575, -230.70452360344242, 26.450122801028254, 1368.5321861907262
1230, 594.4474778001678, -231.98220442304967, 25.791584856542045, 1368.531962705234
1240, 595.0560975616411, -233.62129968593317, 24.51418339949948, 1368.5315396329318
1250, 595.494349533962, -234.8020732020653, 22.116309894311602, 1368.5307332571554
1260, 595.3924150565149, -234.5282684973532, 19.20193316540002, 1368.5300854974098
1270, 594.4822021287334, -232.07700146646954, 16.200608201125725, 1368.5306588330175
1280, 593.1086471345507, -228.37849543716146, 14.087841045503136, 1368.5309504537881
1290, 591.7925435350269, -224.83369921467633, 11.705506354981017, 1368.5322167007714
1300, 591.2624156811851, -223.40600343042732, 9.491016304799862, 1368.5325750462225
1310, 591.8534371828098, -224.99796739521787, 8.122304757601682, 1368.5319010132666
1320, 593.0459325792418, -228.2107674815169, 7.105525204177955, 1368.5298232321368
1330, 593.6968730499872, -229.96425723233753, 6.448886920435216, 1368.5289516423697
1340, 593.1870085926962, -228.5902128031345, 6.211737719590489, 1368.5302166121842
1350, 591.6496243154635, -224.4505366527615, 6.54421743769321, 1368.530577839165
1360, 589.4325971806113, -218.48047720916907, 6.76863349330495, 1368.531424743796
1370, 587.0398724395037, -212.03671883886943, 6.872565337875834, 1368.532915312148
1380, 585.3006998086687, -207.35274093437363, 6.889561780742668, 1368.5342752584784
1390, 584.8887940245834, -206.24412297258203, 6.807146306187403, 1368.533861610967
1400, 585.6071535409358, -208.17967048398606, 6.612322552779338, 1368.532453995771
1410, 586.7219007735605, -211.18207700397085, 6.314643847832753, 1368.5314375147943
1420, 587.6358076615751, -213.64316398080402, 5.930803104216525, 1368.530989999527
1430, 588.0492792331156, -214.75672672991652, 5.485916946477657, 1368.5306746484935
1440, 587.7605993185911, -213.98006369006865, 5.448313597091428, 1368.5300843392788
1450, 586.5201749054339, -210.6401460749395, 6.063772411624712, 1368.530233647447
1460, 584.5417324686205, -205.3127043385337, 6.215639993561342, 1368.5308378292789
1470, 582.4378575016384, -199.64731274414748, 5.88235938133655, 1368.5316723075637
1480, 580.9613633466738, -195.67211782741387, 6.156189832922622, 1368.5314953017046
1490, 580.0394392940833, -193.19164275104902, 7.0683093729353255, 1368.5297451819124
1500, 578.782643040586, -189.80848006766712, 8.784857336617614, 1368.5290593605282
1510, 576.8123916084401, -184.50364662283468, 10.942299363516556, 1368.5291090393937
1520, 574.2498173215278, -177.60264488493885, 11.759846631185798, 1368.5305332642354
1530, 571.6507914801077, -170.60399981808837, 11.5052761014086, 1368.5314571946128
1540, 569.4567936814398, -164.69673104730953, 10.95826251836311, 1368.5315185323461
1550, 567.7872577569701, -160.20155255978136, 10.476123568689589, 1368.5315717153953
1560, 566.5421272132803, -156.849193092799, 9.879189137032505, 1368.5314919013256
1570, 565.6726104305955, -154.50809589942259, 9.212084059256567, 1368.5314673283299
1580, 565.1506739480972, -153.10278527275193, 8.534661738992826, 1368.5314952920626
1590, 564.9767679114441, -152.63455120923226, 7.922454994612648, 1368.5314977862563
1600, 565.143627648357, -153.08390313913839, 7.461588269490179, 1368.5314056864038
1610, 565.6006108967534, -154.31452593075775, 7.232075520750048, 1368.5311828720971
1620, 566.234541447864, -156.02169112716538, 7.279651802611965, 1368.5308376487214
1630, 566.8747476660649, -157.74580000217946, 7.593570672058772, 1368.53044560384
1640, 567.38862570835, -159.12882754042357, 7.7474866641266456, 1368.5310038617663
1650, 567.9048504054855, -160.51876910775312, 7.484268642347634, 1368.5309663179924
1660, 568.5133290254213, -162.15649188406368, 7.223344029708569, 1368.5315357171417
1670, 569.5555262965923, -164.96172621970814, 6.834604912636444, 1368.5323550022888
1680, 571.3528472021961, -169.801046323952, 6.323802049751718, 1368.532213597129
1690, 573.8309593815541, -176.47403309147677, 5.714136191834023, 1368.5313951857947
1700, 576.555598716139, -183.81120695128158, 5.156109310285413, 1368.5301492559997
1710, 578.8661030741226, -190.03269453922763, 4.5471012211230875, 1368.5295560216632
1720, 580.207323444089, -193.64576338556014, 4.143571159259692, 1368.5276425482425
1730, 579.8637686743639, -192.72226872863564, 3.8559006788598, 1368.5261366009686
1740, 577.072488008399, -185.20793032640321, 3.694918223501359, 1368.5251192869307
1750, 572.1517378658828, -171.9540404704137, 4.079103504459262, 1368.5301846292036
1760, 568.4724193947161, -162.04031780775765, 4.450931393512655, 1368.5375630673516
1770, 569.4953023990233, -164.8000935617791, 4.78027548263099, 1368.5318384294474
1780, 572.5918665170386, -173.14376619923547, 4.645859013568476, 1368.5254788859
1790, 573.9751340899793, -176.8677599599732, 4.929188737424622, 1368.5258500692505
1800, 573.1701287145754, -174.69815536096706, 5.119133892415896, 1368.5280259953042
1810, 571.0578741570057, -169.00934253247823, 5.196323444127684, 1368.52972016281
1820, 568.5302401966418, -162.2023851816523, 5.159099979023514, 1368.5311747333938
1830, 566.3880388508092, -156.43389804151997, 4.793254140549513, 1368.5319132819525
1840, 564.9499487062069, -152.56308678904983, 4.357794522975226, 1368.53075310549
1850, 563.9684356573831, -149.92138299849043, 5.606783498573836, 1368.5297919028742
1860, 562.7980116320474, -146.77185100136865, 7.042105487777733, 1368.5280274372208
1870, 560.7539123606109, -141.2679216575256, 8.541572199759793, 1368.5283421386775
1880, 557.9628504573358, -133.75212498268917, 10.007930633009643, 1368.52937210266
1890, 554.837120932288, -125.33553871241355, 10.711728536700324, 1368.530119170516
1900, 551.8360551111933, -117.25454930358008, 11.365887072951011, 1368.5309189200013
1910, 549.4105821530071, -110.72376947998615, 11.984750862267322, 1368.531258332056
1920, 547.7811800510631, -106.33649531784391, 12.40235409965066, 1368.5314650988405
1930, 546.9664054119904, -104.1440279439422, 12.074570577851425, 1368.5302006435172
1940, 546.5949599875798, -103.14475450809519, 11.05928352693551, 1368.529379560864
1950, 546.3668155250931, -102.5303423804128, 9.384686023941583, 1368.5295264119688
1960, 546.2816579111254, -102.30078842086486, 7.847322570745128, 1368.5297986053656
1970, 546.4325036328765, -102.70728704754, 6.797241195590578, 1368.5294430337622
1980, 546.8565222753532, -103.84743588304406, 6.520681653606363, 1368.5309389520078
1990, 547.8946926445412, -106.6439479648318, 7.812492633216522, 1368.5296382990368
2000, 549.1860186329217, -110.12128171364932, 9.812006022574977, 1368.5291222943742
2010, 550.1794058934286, -112.79661009895337, 12.208356971423397, 1368.5284295047495
2020, 550.3718725367751, -113.31578862634714, 15.337933693473166, 1368.5274558665676
2030, 549.4480275283344, -110.82739087950752, 18.269350756335985, 1368.528456358881
2040, 547.6191135268849, -105.9030133072036, 22.567068457672082, 1368.5285927171226
2050, 544.9590264636622, -98.7411068503856, 26.269858572990938, 1368.5283743614368
2060, 541.7769461329024, -90.17082751426317, 27.777995526930763, 1368.5310933318083
2070, 539.1284615362476, -83.0381449908102, 28.93847186660747, 1368.5328899878443
2080, 537.9464301220203, -79.85596807556858, 29.578977256019844, 1368.5325182421636
2090, 538.1029062913153, -80.2786255664354, 30.074517589250654, 1368.5311634485533
2100, 538.7465694244848, -82.0124293537646, 30.44757837654173, 1368.5303840274953
2110, 539.3477850814666, -83.63097110630949, 30.250252820319893, 1368.5305793584341
2120, 539.8773499099522, -85.05671405963683, 29.095829898471116, 1368.5306579319147
2130, 540.6408154078804, -87.11089490100514, 27.516415184173553, 1368.5320621357882
2140, 542.0112735023247, -90.80018671700091, 25.058298664205722, 1368.532646511598
2150, 544.0764390396737, -96.36146119499139, 22.726820321931633, 1368.5317063329876
2160, 546.5936179803339, -103.13958891193093, 19.792361596955708, 1368.530931883039
2170, 549.227250466991, -110.23119548271742, 17.04033275858686, 1368.530222764628
2180, 551.6186535725934, -116.67160383601475, 14.117911702193815, 1368.5285237889784
2190, 553.1167347700434, -120.70511204942866, 10.499896775390267, 1368.528509314827
2200, 553.5901335883739, -121.97985757311059, 7.7496810640838785, 1368.5283617055707
2210, 553.3101880278583, -121.22499928827092, 6.5351712407527325, 1368.5294833654557
2220, 552.9441039310432, -120.23796167722807, 6.7544347878143105, 1368.53086151087
2230, 553.1354987321928, -120.75263333629835, 7.882419869349699, 1368.5315088702068
2240, 554.1495362108349, -123.48358589799885, 8.91198909027708, 1368.5307913775014
2250, 555.7262837449645, -127.72869788529106, 9.94856096103067, 1368.530977521001
2260, 557.6813962355039, -132.9925621721178, 10.455058673417877, 1368.5311363082023
2270, 559.8264410634281, -138.76855063113987, 11.109751004693708, 1368.5305523456764
2280, 561.7521002613971, -143.9531476127164, 11.756556559151935, 1368.5306772150798
2290, 563.3436935364041, -148.23858695629409, 11.723760371207366, 1368.5305072688618
2300, 564.7227642943317, -151.95135326083928, 11.039876972136224, 1368.530806235791
2310, 566.0372065471407, -155.49060117320678, 10.075382288419167, 1368.5306152225767
2320, 567.2066571311408, -158.63982518169396, 9.206827587888622, 1368.5300667444747
2330, 567.8113420974918, -160.26852356547465, 8.30072532825979, 1368.529446351496
2340, 567.3707392685599, -159.08334687633064, 7.880250794025592, 1368.5283263599108
2350, 565.6421547591588, -154.42889119256725, 5.548083986149445, 1368.5286719671822
2360, 563.0206981139036, -147.3698523185038, 3.527878368781784, 1368.5295961112947
2370, 559.9682749253226, -139.1530391298457, 2.5699081745421894, 1368.52794301009
2380, 556.0391443032103, -128.57742559091258, 3.974265016161098, 1368.524608096823
2390, 550.042669340072, -112.43254508435157, 6.57082403220623, 1368.524339553632
2400, 543.4640697594931, -94.7077498323076, 9.39654326721513, 1368.5366501509418
2410, 542.7171597686843, -92.6958588534059, 12.17761598282241, 1368.5375307941902
2420, 548.2406657064724, -107.57929815726834, 14.51590439080105, 1368.5257998174661
2430, 553.7722568295396, -122.47470258195642, 16.27184707078337, 1368.523872596169
2440, 556.780444447839, -130.57181162933395, 17.64140957526076, 1368.5261282198057
2450, 557.5702192725772, -132.6966072351022, 19.042295401475492, 1368.5277539431556
2460, 556.7847048933995, -130.5804788105782, 19.665121592373634, 1368.5289320326065
2470, 554.9794827184397, -125.71812259768043, 18.94540354569562, 1368.5308358527554
2480, 552.9262301745, -120.1886940127911, 17.71319690166203, 1368.5320051582398
2490, 551.1340300767621, -115.36395280165092, 16.55361686046133, 1368.5313551382264
2500, 549.5138740406053, -111.00251418163754, 14.870396463218222, 1368.5306208402496
2510, 547.8242076051928, -106.45316127836185, 12.98565108475929, 1368.5306482461633
2520, 546.2524288432459, -102.22060630335838, 11.119592457524075, 1368.5312832113505
2530, 545.4532943982872, -100.06785960034108, 9.599491437348181, 1368.5324083693833
2540, 546.0527308874417, -101.68241171942908, 8.041066130533881, 1368.5318030311544
2550, 547.4338824494452, -105.40382996234118, 7.009760627765193, 1368.529052499843
